version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,G28,none (baseline),v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815b,6cdb53d5d7b8,Baseline voi prompt va tool declaration goc,Chua co gia thuyet - chay de lay evidence,case_accuracy (base),,0.65,runs/v0_B_base_openrouter_20260729T104331927811.json
v1,G28,artifacts/system_prompt.md,v1+p6aa1a061e3ba+t6cdb53d5d7b8,6aa1a061e3ba,6cdb53d5d7b8,"Base v0 fail R08/R10/R11/R12/R14: agent doan handle va URL, goi send ngay, dung send de tra loi cau ngoai pham vi","System prompt dang RA LENH doan bua va tu gui (guess + just go ahead and send). Viet lai thanh decision order: write action -> clarify(yes_no); thieu info -> clarify(text); out-of-scope -> khong goi tool. Chi sua system_prompt.md, giu nguyen tools.yaml",case_accuracy (base),0.65,0.95,runs/v1_B_base_openrouter_20260729T111429371707.json
v2,G28,artifacts/tools.yaml,v2+p6aa1a061e3ba+tbbfc1245f5f0,6aa1a061e3ba,bbfc1245f5f0,"Base v1 con fail M02: hoi tin robotics hom nay nhung agent goi social_search thay vi lookup(topic=news timeframe=day)","Tool declaration van la ban nhap mo ho nen lookup khong duoc hieu la tool cho TIN TUC va tu chi thoi gian khong duoc map. Viet lai description va arg convention cho clarify/timeline/social_search/lookup/fetch/format/send: name->handle, query chi chua chu de, topic=news, day/week/month/year, Top/Latest, confirmation boundary. Chi sua tools.yaml, giu nguyen system_prompt.md",case_accuracy (base),0.95,1.0,runs/v2_B_base_openrouter_20260729T111613965998.json
v3,G28,artifacts/tools.yaml (declaration policy),v3+p6aa1a061e3ba+t95ce6ea6ffed,6aa1a061e3ba,95ce6ea6ffed,"Base va group da 1.0 nen do tiep extension suite: fail E01/E03/E08 vi policy_area tra ve all hoac bi bo trong","Declaration cua tool policy van mo ho, enum policy_area khong co ngu nghia nen model chon mac dinh all. Bo sung mo ta tung nhom source_citation / data_privacy / external_publishing / ai_research / tool_usage va yeu cau luon chon nhom cu the. Chi sua rieng declaration policy",case_accuracy (extension),0.7,1.0,runs/v3_B_extension_openrouter_20260729T111957092514.json
v3,G28,(regression check - khong doi artifact),v3+p6aa1a061e3ba+t95ce6ea6ffed,6aa1a061e3ba,95ce6ea6ffed,Kiem tra thay doi cua v3 khong lam hong base suite,Sua declaration policy khong anh huong routing cua 6 core tool,case_accuracy (base),1.0,1.0,runs/v3_B_base_openrouter_20260729T112042606157.json
v3,G28,(regression check - khong doi artifact),v3+p6aa1a061e3ba+t95ce6ea6ffed,6aa1a061e3ba,95ce6ea6ffed,Chay 10 case do team G28 tu viet tren artifact cuoi cung,10 team case (clarify thieu link / Top synonym / timeframe month / send boundary khi bi giuc / out-of-scope / 5 multi-turn) deu pass tren v3,case_accuracy (group),1.0,1.0,runs/v3_B_group_openrouter_20260729T112110963946.json
